Time,Simulation_1,Simulation_2,Simulation_3,Simulation_4,Simulation_5,Simulation_6,Simulation_7,Simulation_8,Simulation_9,Simulation_10
0.0,2.97382783508216,2.5170141058059414,4.3365972085391915,6.920750029402308,4.327444999496629,4.8847707045187185,3.3090344803222327,2.740670540561636,3.2276816018867462,8.668167324404857
0.01,7.776709763280247,7.697873608903933,6.184171243935354,7.022267305410902,8.450047429635989,4.524617542397405,5.389405402328302,9.868148702151823,7.821284850083043,1.075779322476238
0.02,8.429056725893775,8.050266612469464,8.315001607900586,5.304972239924448,3.1820644886320517,0.9769173430693889,8.777194201309655,7.086060967318213,0.1381989714243559,7.530329263608847
0.03,4.833988209738963,0.5750964588735119,4.362143244372351,0.49946966211949273,0.5278344049024841,3.669459400148823,4.123661852031141,0.22063701667692115,1.5344061290848066,0.2086272318175031
0.04,2.9301563362839644,6.599435791126384,6.708829178861981,2.6027539167670612,9.595388444275866,6.9764896343199565,5.014517107962763,7.406615657992734,4.513867004014437,6.738137139420623
0.05,1.3216754078609683,7.5084697310565005,4.823875568172919,2.57080865574993,3.0723217232333644,1.6982553534015399,4.077340881788895,7.719446594438062,3.2897389968000743,6.5887833144682215
0.06,5.538600373507307,7.067861202901909,1.6305187397160315,8.605961339480565,5.633772943819783,4.256886655677802,8.828201606079523,1.6427273003831133,1.731089312824482,9.525589932001887
0.07,0.8365363765630185,3.2027634817600967,8.55802716867401,0.2629136829915668,7.939991143837362,2.5820234338525205,5.453953195336281,5.909468721149258,9.632569401964782,1.89160410131603
0.08,9.560752330129397,0.6048167395543669,3.033155708187918,6.206780720288063,5.758968522923872,9.850747113957546,6.450552710797171,0.4363006095670374,6.362983728855953,6.0409454338887265
0.09,3.538315157925802,6.492526946457101,2.076643240358844,3.631921825415306,6.920217404067785,1.6928036354925036,1.1207204502635237,2.7546112871644333,4.316424509974266,7.963818583713506
0.1,2.292487832351695,5.195189354800234,0.266256600819349,7.455274931718795,0.8351506064968661,9.940724477420918,2.4154748997479416,1.4173466880174235,4.780779095063342,0.7304818661569112
0.11,0.5649704672939193,4.0637855401061165,9.530917361124839,5.154058588463483,2.415373187959786,4.955326947776419,3.0446508931957506,4.162838302735574,4.972583171063338,8.734691678427605
0.12,3.681215760193105,2.006434793697772,4.0955189240457255,2.7939697434028954,9.00539633745711,3.575557053340358,4.513967521643082,2.1713168923215487,3.6131793251932898,8.789217063406054
0.13,4.1074184663840345,8.79084793365592,5.462212027704866,9.704224250333285,7.160313007546937,8.155622481000858,4.209105099137863,3.104645854759487,5.030430028785028,4.558054437501067
0.14,6.426337590656926,6.220379893748898,2.675139122610636,5.795230129953827,2.2148816787450674,1.76959734469471,5.541479810615457,5.2030692879737135,9.337157915603422,9.48677318316957
0.15,3.7415952004957087,7.865368818374575,7.036886843215858,9.293571611565204,7.578691419921411,5.071593168552905,6.841599092160346,7.330703736563688,2.515084960386215,5.608569094529701
0.16,9.974156985083951,3.6772739935972254,4.456363018790462,8.893653860963756,1.8244368799558053,2.7585423068903636,2.5899820055428924,2.5756259952252822,2.170125901039209,9.53970653826621
0.17,0.41160918186004647,1.2981575018256353,1.8730563646962106,3.730156522231336,5.476196033470705,8.239771780686937,9.44447104750991,5.970963054036603,6.7823388709359245,9.320299710959109
0.18,7.6645610590772755,4.607231088244339,3.568354960216226,2.2507647302462184,2.7770005400927045,2.382737297104316,8.670441112830426,2.451483003534436,2.239484370413276,2.694367135797271
0.19,7.249193309942502,7.373896523001017,3.069452300701161,8.768616573019148,3.8826243727247656,6.406798624029041,2.7346796859689295,1.4709642349308027,8.356974449331899,0.3215652279238923
0.2,6.3299211978296555,7.600574706694055,9.009666584998241,1.5554516533538765,6.176783938798956,6.373134886407756,1.9957305683214477,5.707208003496033,4.583292327507146,7.464685581753676
0.21,3.835642912797689,3.097172921805398,3.145456129817432,2.6759948188805738,2.2459974882736256,6.57317135375668,5.5066249625990835,3.507432077489537,5.864683786404759,6.346900701090946
0.22,2.5134720038802802,8.712274839099699,9.023280809140127,5.560990634786921,4.293358230551818,9.533990971635802,1.930993003812439,9.956874864154146,3.1032689572827534,8.752756443188233
0.23,0.5763701281708644,7.712332587770514,4.138007786863792,2.8178910695630046,0.27553211979310266,4.978446272213194,5.494413514624863,7.269350869985445,5.114012406161188,8.577195961739434
0.24,1.6654669325447724,3.122802935748922,3.1998398875492216,9.731916935153386,1.0029054289528583,3.083735875951273,5.454318250262764,5.550969874495339,4.280772654627976,6.606949116041594
0.25,5.9953559057563774,1.6858200356353858,4.508086027476717,5.698337822503385,3.555087925623417,5.877671584936702,8.63744839219004,5.351693652869076,5.494615911723477,4.262410891723838
0.26,2.244702124454867,9.698754509161798,9.928512788210373,3.3943049163572727,7.14535842910263,2.678023194894025,9.941661445558397,2.9674059187121635,9.31702985610615,1.6917273017827894
0.27,4.6830925549871605,6.152316279017034,2.8264017979154077,8.057278607205014,0.9681392000843125,4.310051634109681,6.483993460542136,0.14114088666575375,8.045758929184894,4.13709275516879
0.28,7.979252692279389,2.8745410819909,3.431923323085501,3.2655298122828667,1.4574233303622741,7.252027218242093,7.209449927633536,9.889473542666353,1.825346492206078,4.160182584368171
0.29,3.39431446132331,5.135005459984166,0.9041110257963958,0.7061102025006338,7.247328185191318,2.3987146367877807,9.357781490898057,0.06168597662863706,3.612534631794574,9.556542300199848
0.3,5.598861549471134,6.588280819754498,8.269328463511677,2.413102509498989,5.392869613625874,9.673103835591935,9.459203108493655,9.941370149299647,3.9965229703064398,9.166572797915201
0.31,0.27954518013781127,8.342682708068077,0.3195806428603365,4.959088890576857,4.826472761962613,2.830703971465626,4.98266248975917,7.020234385998114,1.0797940342236534,2.6036411149387018
0.32,8.73537510071615,7.21836563296131,0.4262669517720963,9.95814839644169,5.211442863431605,2.330703484650114,5.818676901920385,4.787788686931793,4.988103252594796,4.453709677471301
0.33,8.093726418484051,9.400553129342915,8.472374297354285,3.567403089867965,9.786933990199447,6.537728381303735,4.576781344135528,6.127809443970753,6.16737425828884,8.53818976979957
0.34,6.395990537973453,5.087542967882385,1.5440524000484523,9.679270448797528,9.87950169939415,3.0335550243111475,9.094511189527175,6.906347289477114,6.937703472322721,0.641802292535566
0.35000000000000003,7.853669167256058,8.073534519885937,6.994388252788366,7.374180938187771,2.4842725785460518,2.822825933055343,0.24869818894248774,8.988805255520923,6.244738722265222,1.5586010509377035
0.36,8.365540692108498,1.175409405904766,8.636870432542654,9.49842072541703,6.320557613497213,7.917766229227191,5.0600158604294165,2.5524636987295746,7.749810661593792,4.895726750635311
0.37,4.777857447104562,6.35188307154401,9.14544116046542,1.453540308742196,0.8450953829680874,2.0646815454568146,9.898397137675278,7.8318325470914365,8.546275727918207,9.500942661348326
